	x	sin^2(x)*cos^2(x)	atvas
      0.00	      2.00	      0.00
      0.01	      2.01	      0.02
      0.02	      2.03	      0.04
      0.03	      2.04	      0.06
      0.04	      2.06	      0.08
      0.05	      2.07	      0.10
      0.06	      2.08	      0.11
      0.07	      2.10	      0.13
      0.08	      2.11	      0.15
      0.09	      2.12	      0.17
      0.10	      2.14	      0.18
      0.11	      2.15	      0.20
      0.12	      2.16	      0.21
      0.13	      2.18	      0.23
      0.14	      2.19	      0.24
      0.15	      2.20	      0.26
      0.16	      2.21	      0.27
      0.17	      2.23	      0.29
      0.18	      2.24	      0.30
      0.19	      2.25	      0.31
      0.20	      2.26	      0.32
      0.21	      2.28	      0.33
      0.22	      2.29	      0.34
      0.23	      2.30	      0.35
      0.24	      2.31	      0.36
      0.25	      2.32	      0.37
      0.26	      2.34	      0.38
      0.27	      2.35	      0.38
      0.28	      2.36	      0.39
      0.29	      2.37	      0.40
      0.30	      2.38	      0.40
      0.31	      2.39	      0.41
      0.32	      2.40	      0.41
      0.33	      2.41	      0.41
      0.34	      2.42	      0.42
      0.35	      2.43	      0.42
      0.36	      2.44	      0.42
      0.37	      2.45	      0.42
      0.38	      2.46	      0.42
      0.39	      2.47	      0.42
      0.40	      2.48	      0.42
      0.41	      2.49	      0.42
      0.42	      2.50	      0.41
      0.43	      2.51	      0.41
      0.44	      2.52	      0.41
      0.45	      2.52	      0.40
      0.46	      2.53	      0.40
      0.47	      2.54	      0.39
      0.48	      2.55	      0.39
      0.49	      2.55	      0.38
      0.50	      2.56	      0.37
      0.51	      2.57	      0.37
      0.52	      2.58	      0.36
      0.53	      2.58	      0.35
      0.54	      2.59	      0.34
      0.55	      2.59	      0.33
      0.56	      2.60	      0.32
      0.57	      2.61	      0.31
      0.58	      2.61	      0.30
      0.59	      2.62	      0.29
      0.60	      2.62	      0.27
      0.61	      2.63	      0.26
      0.62	      2.63	      0.25
      0.63	      2.63	      0.23
      0.64	      2.64	      0.22
      0.65	      2.64	      0.21
      0.66	      2.64	      0.19
      0.67	      2.65	      0.18
      0.68	      2.65	      0.16
      0.69	      2.65	      0.15
      0.70	      2.66	      0.13
      0.71	      2.66	      0.12
      0.72	      2.66	      0.10
      0.73	      2.66	      0.09
      0.74	      2.66	      0.07
      0.75	      2.66	      0.06
      0.76	      2.66	      0.04
      0.77	      2.66	      0.02
      0.78	      2.67	      0.01
      0.79	      2.67	     -0.01
      0.80	      2.66	     -0.02
      0.81	      2.66	     -0.04
      0.82	      2.66	     -0.06
      0.83	      2.66	     -0.07
      0.84	      2.66	     -0.09
      0.85	      2.66	     -0.10
      0.86	      2.66	     -0.12
      0.87	      2.66	     -0.13
      0.88	      2.65	     -0.15
      0.89	      2.65	     -0.16
      0.90	      2.65	     -0.18
      0.91	      2.64	     -0.19
      0.92	      2.64	     -0.21
      0.93	      2.64	     -0.22
      0.94	      2.63	     -0.23
      0.95	      2.63	     -0.25
      0.96	      2.63	     -0.26
      0.97	      2.62	     -0.27
      0.98	      2.62	     -0.28
      0.99	      2.61	     -0.30
      1.00	      2.61	     -0.31
      1.01	      2.60	     -0.32
      1.02	      2.59	     -0.33
      1.03	      2.59	     -0.34
      1.04	      2.58	     -0.35
      1.05	      2.58	     -0.36
      1.06	      2.57	     -0.36
      1.07	      2.56	     -0.37
      1.08	      2.55	     -0.38
      1.09	      2.55	     -0.39
      1.10	      2.54	     -0.39
      1.11	      2.53	     -0.40
      1.12	      2.52	     -0.40
      1.13	      2.52	     -0.41
      1.14	      2.51	     -0.41
      1.15	      2.50	     -0.41
      1.16	      2.49	     -0.42
      1.17	      2.48	     -0.42
      1.18	      2.47	     -0.42
      1.19	      2.46	     -0.42
      1.20	      2.45	     -0.42
      1.21	      2.44	     -0.42
      1.22	      2.43	     -0.42
      1.23	      2.42	     -0.42
      1.24	      2.41	     -0.41
      1.25	      2.40	     -0.41
      1.26	      2.39	     -0.41
      1.27	      2.38	     -0.40
      1.28	      2.37	     -0.40
      1.29	      2.36	     -0.39
      1.30	      2.35	     -0.38
      1.31	      2.34	     -0.38
      1.32	      2.32	     -0.37
      1.33	      2.31	     -0.36
      1.34	      2.30	     -0.35
      1.35	      2.29	     -0.34
      1.36	      2.28	     -0.33
      1.37	      2.26	     -0.32
      1.38	      2.25	     -0.31
      1.39	      2.24	     -0.30
      1.40	      2.23	     -0.29
      1.41	      2.21	     -0.27
      1.42	      2.20	     -0.26
      1.43	      2.19	     -0.25
      1.44	      2.18	     -0.23
      1.45	      2.16	     -0.22
      1.46	      2.15	     -0.20
      1.47	      2.14	     -0.18
      1.48	      2.12	     -0.17
      1.49	      2.11	     -0.15
      1.50	      2.10	     -0.13
      1.51	      2.08	     -0.12
      1.52	      2.07	     -0.10
      1.53	      2.06	     -0.08
      1.54	      2.04	     -0.06
      1.55	      2.03	     -0.04
      1.56	      2.01	     -0.02
      1.57	      2.00	     -0.00
      1.58	      1.99	      0.02
      1.59	      1.97	      0.04
      1.60	      1.96	      0.06
      1.61	      1.95	      0.08
      1.62	      1.93	      0.10
      1.63	      1.92	      0.12
      1.64	      1.90	      0.14
      1.65	      1.89	      0.17
      1.66	      1.88	      0.19
      1.67	      1.86	      0.21
      1.68	      1.85	      0.23
      1.69	      1.83	      0.25
      1.70	      1.82	      0.27
      1.71	      1.80	      0.30
      1.72	      1.79	      0.32
      1.73	      1.78	      0.34
      1.74	      1.76	      0.36
      1.75	      1.75	      0.38
      1.76	      1.73	      0.41
      1.77	      1.72	      0.43
      1.78	      1.71	      0.45
      1.79	      1.69	      0.47
      1.80	      1.68	      0.49
      1.81	      1.66	      0.51
      1.82	      1.65	      0.53
      1.83	      1.64	      0.55
      1.84	      1.62	      0.57
      1.85	      1.61	      0.59
      1.86	      1.59	      0.61
      1.87	      1.58	      0.63
      1.88	      1.57	      0.65
      1.89	      1.55	      0.67
      1.90	      1.54	      0.69
      1.91	      1.53	      0.71
      1.92	      1.51	      0.73
      1.93	      1.50	      0.74
      1.94	      1.49	      0.76
      1.95	      1.47	      0.78
      1.96	      1.46	      0.79
      1.97	      1.45	      0.81
      1.98	      1.43	      0.82
      1.99	      1.42	      0.84
      2.00	      1.41	      0.85
      2.01	      1.39	      0.87
      2.02	      1.38	      0.88
      2.03	      1.37	      0.89
      2.04	      1.36	      0.91
      2.05	      1.34	      0.92
      2.06	      1.33	      0.93
      2.07	      1.32	      0.94
      2.08	      1.31	      0.95
      2.09	      1.29	      0.96
      2.10	      1.28	      0.97
      2.11	      1.27	      0.98
      2.12	      1.26	      0.99
      2.13	      1.25	      1.00
      2.14	      1.23	      1.00
      2.15	      1.22	      1.01
      2.16	      1.21	      1.02
      2.17	      1.20	      1.02
      2.18	      1.19	      1.03
      2.19	      1.18	      1.03
      2.20	      1.16	      1.03
      2.21	      1.15	      1.04
      2.22	      1.14	      1.04
